Pennsylvania, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,68.4,2.4
197706,63.3,-2.7
197806,65.1,-0.9
197906,64.1,-1.9
198006,63.1,-2.9
198106,66.6,0.6
198206,63.1,-2.9
198306,66.2,0.2
198406,66.8,0.8
198506,62.8,-3.2
198606,65.8,-0.2
198706,68.3,2.3
198806,65.1,-0.9
198906,67.0,1.0
199006,66.0,0.0
199106,68.4,2.4
199206,63.1,-2.9
199306,65.8,-0.2
199406,68.8,2.8
199506,67.6,1.6
199606,67.9,1.9
199706,65.9,-0.1
199806,65.6,-0.4
199906,67.3,1.3
200006,67.2,1.2
200106,66.8,0.8
200206,67.9,1.9
200306,64.0,-2.0
200406,64.8,-1.2
200506,69.7,3.7
200606,66.0,0.0
200706,67.8,1.8
200806,68.8,2.8
200906,65.0,-1.0
201006,69.3,3.3
201106,68.0,2.0
201206,66.5,0.5
201306,67.4,1.4
201406,67.6,1.6
201506,67.1,1.1
201606,67.4,1.4
201706,66.8,0.8
201806,66.6,0.6
201906,65.8,-0.2
202006,67.2,1.2
202106,68.7,2.7
