Tennessee, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,61.1,-5.0
197705,68.8,2.7
197805,64.8,-1.3
197905,64.7,-1.4
198005,65.6,-0.5
198105,62.6,-3.5
198205,69.2,3.1
198305,63.4,-2.7
198405,63.1,-3.0
198505,66.4,0.3
198605,67.2,1.1
198705,71.0,4.9
198805,64.5,-1.6
198905,62.8,-3.3
199005,64.0,-2.1
199105,70.2,4.1
199205,63.4,-2.7
199305,65.4,-0.7
199405,61.9,-4.2
199505,66.2,0.1
199605,68.6,2.5
199705,61.5,-4.6
199805,69.5,3.4
199905,65.8,-0.3
200005,68.8,2.7
200105,66.9,0.8
200205,64.2,-1.9
200305,66.5,0.4
200405,70.1,4.0
200505,63.3,-2.8
200605,65.0,-1.1
200705,68.7,2.6
200805,64.8,-1.3
200905,66.4,0.3
201005,69.1,3.0
201105,65.7,-0.4
201205,70.4,4.3
201305,65.0,-1.1
201405,67.3,1.2
201505,68.0,1.9
201605,65.3,-0.8
201705,66.6,0.5
201805,72.3,6.2
201905,70.1,4.0
202005,64.0,-2.1
202105,64.2,-1.9
