South Carolina, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,67.1,-3.2
197705,71.4,1.1
197805,69.1,-1.2
197905,69.4,-0.9
198005,69.9,-0.4
198105,67.9,-2.4
198205,71.9,1.6
198305,69.1,-1.2
198405,68.9,-1.4
198505,70.5,0.2
198605,71.0,0.7
198705,71.8,1.5
198805,68.2,-2.1
198905,67.4,-2.9
199005,70.3,0.0
199105,73.4,3.1
199205,66.6,-3.7
199305,70.0,-0.3
199405,67.6,-2.7
199505,71.9,1.6
199605,72.0,1.7
199705,66.2,-4.1
199805,72.9,2.6
199905,68.4,-1.9
200005,73.4,3.1
200105,70.7,0.4
200205,68.6,-1.7
200305,70.2,-0.1
200405,74.1,3.8
200505,67.5,-2.8
200605,68.8,-1.5
200705,69.1,-1.2
200805,69.0,-1.3
200905,70.9,0.6
201005,73.2,2.9
201105,71.3,1.0
201205,72.7,2.4
201305,67.9,-2.4
201405,71.7,1.4
201505,71.6,1.3
201605,70.1,-0.2
201705,71.5,1.2
201805,73.8,3.5
201905,75.4,5.1
202005,68.0,-2.3
202105,69.1,-1.2
