Michigan, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,45.0,3.1
197704,46.5,4.6
197804,40.0,-1.9
197904,40.2,-1.7
198004,42.6,0.7
198104,45.0,3.1
198204,38.2,-3.7
198304,39.6,-2.3
198404,44.0,2.1
198504,46.7,4.8
198604,46.8,4.9
198704,46.7,4.8
198804,43.1,1.2
198904,40.6,-1.3
199004,45.0,3.1
199104,46.7,4.8
199204,40.2,-1.7
199304,40.4,-1.5
199404,43.3,1.4
199504,38.9,-3.0
199604,38.3,-3.6
199704,40.4,-1.5
199804,45.7,3.8
199904,45.8,3.9
200004,42.4,0.5
200104,46.1,4.2
200204,43.4,1.5
200304,41.4,-0.5
200404,44.2,2.3
200504,46.4,4.5
200604,47.5,5.6
200704,41.8,-0.1
200804,45.7,3.8
200904,43.1,1.2
201004,49.0,7.1
201104,42.0,0.1
201204,43.9,2.0
201304,39.5,-2.4
201404,41.2,-0.7
201504,43.2,1.3
201604,40.8,-1.1
201704,47.2,5.3
201804,35.2,-6.7
201904,42.5,0.6
202004,40.2,-1.7
202104,45.1,3.2
