Florida, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,73.9,-1.2
197705,74.5,-0.6
197805,76.0,0.9
197905,74.5,-0.6
198005,75.3,0.2
198105,74.2,-0.9
198205,74.1,-1.0
198305,74.3,-0.8
198405,74.9,-0.2
198505,76.0,0.9
198605,75.1,0.0
198705,75.5,0.4
198805,73.1,-2.0
198905,75.4,0.3
199005,77.0,1.9
199105,78.2,3.1
199205,72.7,-2.4
199305,73.8,-1.3
199405,75.7,0.6
199505,78.3,3.2
199605,77.0,1.9
199705,74.8,-0.3
199805,77.4,2.3
199905,74.6,-0.5
200005,77.3,2.2
200105,74.9,-0.2
200205,76.7,1.6
200305,78.1,3.0
200405,76.3,1.2
200505,74.4,-0.7
200605,75.7,0.6
200705,74.9,-0.2
200805,76.4,1.3
200905,76.6,1.5
201005,78.5,3.4
201105,76.2,1.1
201205,77.6,2.5
201305,74.0,-1.1
201405,76.0,0.9
201505,77.5,2.4
201605,76.2,1.1
201705,77.1,2.0
201805,76.4,1.3
201905,78.8,3.7
202005,75.8,0.7
202105,76.2,1.1
