Massachusetts, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,31.2,6.2
197702,25.2,0.2
197802,19.2,-5.8
197902,17.4,-7.6
198002,22.8,-2.2
198102,32.3,7.3
198202,26.1,1.1
198302,28.3,3.3
198402,33.3,8.3
198502,27.9,2.9
198602,24.6,-0.4
198702,24.6,-0.4
198802,26.8,1.8
198902,25.8,0.8
199002,30.1,5.1
199102,31.6,6.6
199202,28.2,3.2
199302,20.8,-4.2
199402,21.9,-3.1
199502,24.5,-0.5
199602,26.0,1.0
199702,32.5,7.5
199802,33.7,8.7
199902,30.6,5.6
200002,30.1,5.1
200102,27.8,2.8
200202,32.4,7.4
200302,22.8,-2.2
200402,27.4,2.4
200502,28.2,3.2
200602,28.2,3.2
200702,22.4,-2.6
200802,28.6,3.6
200902,28.6,3.6
201002,29.3,4.3
201102,25.5,0.5
201202,33.6,8.6
201302,28.4,3.4
201402,24.1,-0.9
201502,14.6,-10.4
201602,30.9,5.9
201702,33.0,8.0
201802,34.3,9.3
201902,28.5,3.5
202002,32.4,7.4
202102,27.6,2.6
202202,29.7,4.7
