Utah, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,67.2,-2.2
197708,70.1,0.7
197808,68.4,-1.0
197908,68.3,-1.1
198008,68.5,-0.9
198108,70.7,1.3
198208,70.9,1.5
198308,70.4,1.0
198408,69.8,0.4
198508,69.8,0.4
198608,71.6,2.2
198708,68.3,-1.1
198808,70.2,0.8
198908,68.6,-0.8
199008,69.7,0.3
199108,70.8,1.4
199208,70.6,1.2
199308,67.8,-1.6
199408,73.2,3.8
199508,71.8,2.4
199608,71.7,2.3
199708,70.2,0.8
199808,71.6,2.2
199908,69.1,-0.3
200008,73.0,3.6
200108,72.4,3.0
200208,70.7,1.3
200308,72.7,3.3
200408,68.6,-0.8
200508,69.0,-0.4
200608,69.7,0.3
200708,72.8,3.4
200808,71.6,2.2
200908,69.7,0.3
201008,69.3,-0.1
201108,72.5,3.1
201208,73.0,3.6
201308,71.0,1.6
201408,67.7,-1.7
201508,71.0,1.6
201608,70.1,0.7
201708,71.6,2.2
201808,72.4,3.0
201908,72.8,3.4
202008,75.8,6.4
202108,70.9,1.5
