Maryland, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,31.1,-4.2
197712,33.8,-1.5
197812,38.0,2.7
197912,38.4,3.1
198012,34.3,-1.0
198112,33.5,-1.8
198212,42.0,6.7
198312,32.7,-2.6
198412,43.6,8.3
198512,33.1,-2.2
198612,37.0,1.7
198712,38.5,3.2
198812,35.6,0.3
198912,24.6,-10.7
199012,41.2,5.9
199112,39.5,4.2
199212,36.8,1.5
199312,34.6,-0.7
199412,41.0,5.7
199512,32.0,-3.3
199612,39.6,4.3
199712,37.7,2.4
199812,41.7,6.4
199912,39.1,3.8
200012,29.2,-6.1
200112,42.6,7.3
200212,34.3,-1.0
200312,36.5,1.2
200412,37.7,2.4
200512,33.7,-1.6
200612,42.8,7.5
200712,38.1,2.8
200812,38.6,3.3
200912,35.4,0.1
201012,30.8,-4.5
201112,41.8,6.5
201212,42.2,6.9
201312,38.6,3.3
201412,39.6,4.3
201512,48.6,13.3
201612,38.0,2.7
201712,35.3,0.0
201812,39.2,3.9
201912,38.9,3.6
202012,38.3,3.0
202112,43.8,8.5
