Arizona, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,47.9,-1.6
197703,46.1,-3.4
197803,52.7,3.2
197903,47.9,-1.6
198003,47.6,-1.9
198103,48.9,-0.6
198203,49.2,-0.3
198303,48.8,-0.7
198403,51.0,1.5
198503,49.4,-0.1
198603,54.2,4.7
198703,47.4,-2.1
198803,50.3,0.8
198903,55.5,6.0
199003,52.0,2.5
199103,45.8,-3.7
199203,50.2,0.7
199303,51.8,2.3
199403,52.9,3.4
199503,51.3,1.8
199603,51.9,2.4
199703,55.0,5.5
199803,49.0,-0.5
199903,53.0,3.5
200003,50.5,1.0
200103,51.8,2.3
200203,49.8,0.3
200303,50.6,1.1
200403,58.1,8.6
200503,49.9,0.4
200603,48.3,-1.2
200703,54.5,5.0
200803,51.8,2.3
200903,52.5,3.0
201003,49.2,-0.3
201103,53.3,3.8
201203,51.6,2.1
201303,54.8,5.3
201403,53.9,4.4
201503,56.3,6.8
201603,54.9,5.4
201703,56.6,7.1
201803,52.3,2.8
201903,51.7,2.2
202003,51.0,1.5
202103,49.6,0.1
202203,52.0,2.5
