New Hampshire, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,51.9,-0.7
197705,55.8,3.2
197805,54.9,2.3
197905,54.8,2.2
198005,53.3,0.7
198105,55.0,2.4
198205,54.6,2.0
198305,51.1,-1.5
198405,51.3,-1.3
198505,53.6,1.0
198605,55.2,2.6
198705,53.5,0.9
198805,54.8,2.2
198905,55.6,3.0
199005,50.2,-2.4
199105,57.0,4.4
199205,52.5,-0.1
199305,54.1,1.5
199405,51.3,-1.3
199505,51.6,-1.0
199605,50.9,-1.7
199705,48.6,-4.0
199805,57.6,5.0
199905,55.4,2.8
200005,52.7,0.1
200105,55.2,2.6
200205,50.6,-2.0
200305,52.0,-0.6
200405,55.2,2.6
200505,48.6,-4.0
200605,53.7,1.1
200705,54.3,1.7
200805,51.4,-1.2
200905,53.3,0.7
201005,56.7,4.1
201105,55.8,3.2
201205,57.0,4.4
201305,54.9,2.3
201405,54.0,1.4
201505,58.9,6.3
201605,54.8,2.2
201705,52.2,-0.4
201805,57.3,4.7
201905,51.3,-1.3
202005,53.4,0.8
202105,54.5,1.9
