Idaho, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,56.2,1.5
197709,53.7,-1.0
197809,53.4,-1.3
197909,58.4,3.7
198009,55.2,0.5
198109,56.6,1.9
198209,53.9,-0.8
198309,54.0,-0.7
198409,52.5,-2.2
198509,49.2,-5.5
198609,49.9,-4.8
198709,57.8,3.1
198809,54.5,-0.2
198909,55.7,1.0
199009,61.7,7.0
199109,57.0,2.3
199209,54.2,-0.5
199309,54.6,-0.1
199409,58.9,4.2
199509,56.8,2.1
199609,52.5,-2.2
199709,57.4,2.7
199809,60.4,5.7
199909,54.2,-0.5
200009,54.0,-0.7
200109,59.4,4.7
200209,55.9,1.2
200309,56.7,2.0
200409,53.7,-1.0
200509,54.1,-0.6
200609,55.1,0.4
200709,54.9,0.2
200809,55.5,0.8
200909,60.1,5.4
201009,56.4,1.7
201109,59.6,4.9
201209,58.4,3.7
201309,57.1,2.4
201409,57.6,2.9
201509,57.2,2.5
201609,54.6,-0.1
201709,55.7,1.0
201809,56.2,1.5
201909,55.0,0.3
202009,58.7,4.0
202109,57.2,2.5
