Alaska, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,41.7,1.1
197709,42.4,1.8
197809,42.6,2.0
197909,42.4,1.8
198009,38.8,-1.8
198109,38.8,-1.8
198209,41.5,0.9
198309,36.8,-3.8
198409,42.1,1.5
198509,39.7,-0.9
198609,41.6,1.0
198709,38.7,-1.9
198809,39.9,-0.7
198909,43.5,2.9
199009,40.1,-0.5
199109,43.4,2.8
199209,31.6,-9.0
199309,39.7,-0.9
199409,39.8,-0.8
199509,45.9,5.3
199609,37.3,-3.3
199709,44.6,4.0
199809,41.6,1.0
199909,41.9,1.3
200009,38.6,-2.0
200109,42.4,1.8
200209,42.7,2.1
200309,39.0,-1.6
200409,37.4,-3.2
200509,42.9,2.3
200609,44.3,3.7
200709,43.5,2.9
200809,41.2,0.6
200909,41.6,1.0
201009,42.8,2.2
201109,42.4,1.8
201209,40.6,0.0
201309,39.6,-1.0
201409,42.3,1.7
201509,38.9,-1.7
201609,42.3,1.7
201709,42.6,2.0
201809,44.3,3.7
201909,44.4,3.8
202009,42.0,1.4
202109,39.3,-1.3
