Kansas, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,50.5,-6.0
197710,56.8,0.3
197810,56.6,0.1
197910,59.2,2.7
198010,55.6,-0.9
198110,54.9,-1.6
198210,55.9,-0.6
198310,57.6,1.1
198410,54.6,-1.9
198510,55.0,-1.5
198610,55.4,-1.1
198710,53.6,-2.9
198810,53.7,-2.8
198910,57.6,1.1
199010,56.1,-0.4
199110,56.8,0.3
199210,56.4,-0.1
199310,53.6,-2.9
199410,57.5,1.0
199510,56.2,-0.3
199610,56.3,-0.2
199710,56.8,0.3
199810,58.5,2.0
199910,56.5,0.0
200010,59.4,2.9
200110,56.2,-0.3
200210,50.5,-6.0
200310,58.3,1.8
200410,57.8,1.3
200510,57.7,1.2
200610,55.1,-1.4
200710,59.1,2.6
200810,55.4,-1.1
200910,48.8,-7.7
201010,59.1,2.6
201110,57.5,1.0
201210,54.0,-2.5
201310,55.2,-1.3
201410,58.9,2.4
201510,59.2,2.7
201610,61.5,5.0
201710,57.6,1.1
201810,53.6,-2.9
201910,51.1,-5.4
202010,52.6,-3.9
202110,59.1,2.6
