Indiana, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,62.5,-3.2
197709,67.6,1.9
197809,68.9,3.2
197909,64.7,-1.0
198009,67.1,1.4
198109,63.7,-2.0
198209,63.9,-1.8
198309,66.4,0.7
198409,63.6,-2.1
198509,66.0,0.3
198609,68.4,2.7
198709,66.6,0.9
198809,65.5,-0.2
198909,63.2,-2.5
199009,66.3,0.6
199109,65.4,-0.3
199209,63.7,-2.0
199309,61.5,-4.2
199409,64.3,-1.4
199509,63.2,-2.5
199609,63.9,-1.8
199709,64.8,-0.9
199809,69.6,3.9
199909,65.6,-0.1
200009,64.4,-1.3
200109,63.6,-2.1
200209,69.2,3.5
200309,63.4,-2.3
200409,67.1,1.4
200509,69.2,3.5
200609,62.5,-3.2
200709,69.0,3.3
200809,67.6,1.9
200909,65.5,-0.2
201009,67.2,1.5
201109,63.6,-2.1
201209,64.2,-1.5
201309,66.9,1.2
201409,64.0,-1.7
201509,68.8,3.1
201609,69.9,4.2
201709,67.2,1.5
201809,69.9,4.2
201909,70.8,5.1
202009,65.2,-0.5
202109,68.4,2.7
