Utah, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,56.8,2.1
197705,51.6,-3.1
197805,52.3,-2.4
197905,54.7,0.0
198005,51.8,-2.9
198105,53.6,-1.1
198205,53.5,-1.2
198305,51.3,-3.4
198405,57.9,3.2
198505,56.9,2.2
198605,54.6,-0.1
198705,56.3,1.6
198805,54.8,0.1
198905,56.1,1.4
199005,54.1,-0.6
199105,52.5,-2.2
199205,58.8,4.1
199305,57.2,2.5
199405,57.8,3.1
199505,50.6,-4.1
199605,56.9,2.2
199705,58.0,3.3
199805,53.7,-1.0
199905,52.8,-1.9
200005,59.3,4.6
200105,59.3,4.6
200205,56.3,1.6
200305,57.4,2.7
200405,57.0,2.3
200505,56.0,1.3
200605,58.9,4.2
200705,57.7,3.0
200805,52.8,-1.9
200905,58.7,4.0
201005,50.2,-4.5
201105,50.8,-3.9
201205,58.0,3.3
201305,56.0,1.3
201405,56.5,1.8
201505,53.8,-0.9
201605,54.4,-0.3
201705,55.6,0.9
201805,58.3,3.6
201905,50.5,-4.2
202005,59.0,4.3
202105,57.2,2.5
