Indiana, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,47.9,-6.0
197710,51.0,-2.9
197810,51.2,-2.7
197910,53.3,-0.6
198010,50.4,-3.5
198110,51.3,-2.6
198210,54.7,0.8
198310,54.9,1.0
198410,58.5,4.6
198510,56.7,2.8
198610,54.9,1.0
198710,47.4,-6.5
198810,47.1,-6.8
198910,54.3,0.4
199010,52.7,-1.2
199110,56.3,2.4
199210,52.2,-1.7
199310,51.1,-2.8
199410,55.1,1.2
199510,55.1,1.2
199610,54.4,0.5
199710,53.6,-0.3
199810,55.8,1.9
199910,53.7,-0.2
200010,57.2,3.3
200110,53.7,-0.2
200210,52.4,-1.5
200310,52.9,-1.0
200410,54.8,0.9
200510,55.2,1.3
200610,51.1,-2.8
200710,60.2,6.3
200810,53.7,-0.2
200910,50.5,-3.4
201010,56.0,2.1
201110,53.9,0.0
201210,52.1,-1.8
201310,54.3,0.4
201410,53.8,-0.1
201510,55.6,1.7
201610,59.5,5.6
201710,57.6,3.7
201810,54.9,1.0
201910,55.5,1.6
202010,53.1,-0.8
202110,60.2,6.3
