Kentucky, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,30.0,-3.6
197701,17.7,-15.9
197801,22.5,-11.1
197901,24.9,-8.7
198001,34.4,0.8
198101,28.4,-5.2
198201,28.7,-4.9
198301,33.7,0.1
198401,28.3,-5.3
198501,25.0,-8.6
198601,33.0,-0.6
198701,32.5,-1.1
198801,30.2,-3.4
198901,40.3,6.7
199001,41.6,8.0
199101,34.3,0.7
199201,35.6,2.0
199301,37.7,4.1
199401,27.0,-6.6
199501,35.0,1.4
199601,32.4,-1.2
199701,32.5,-1.1
199801,40.8,7.2
199901,37.5,3.9
200001,33.8,0.2
200101,31.8,-1.8
200201,37.9,4.3
200301,28.4,-5.2
200401,32.5,-1.1
200501,39.0,5.4
200601,43.1,9.5
200701,38.0,4.4
200801,33.3,-0.3
200901,30.2,-3.4
201001,29.8,-3.8
201101,30.2,-3.4
201201,38.7,5.1
201301,36.7,3.1
201401,26.8,-6.8
201501,32.2,-1.4
201601,31.6,-2.0
201701,40.9,7.3
201801,30.0,-3.6
201901,35.1,1.5
202001,40.2,6.6
202101,35.7,2.1
202201,31.2,-2.4
