Florida, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,68.9,-0.4
197704,69.7,0.4
197804,69.8,0.5
197904,71.4,2.1
198004,68.8,-0.5
198104,71.6,2.3
198204,70.5,1.2
198304,66.2,-3.1
198404,68.1,-1.2
198504,69.4,0.1
198604,67.4,-1.9
198704,65.0,-4.3
198804,69.6,0.3
198904,69.7,0.4
199004,69.1,-0.2
199104,73.3,4.0
199204,67.9,-1.4
199304,65.9,-3.4
199404,72.1,2.8
199504,70.4,1.1
199604,67.8,-1.5
199704,68.3,-1.0
199804,69.7,0.4
199904,72.8,3.5
200004,68.1,-1.2
200104,70.0,0.7
200204,73.6,4.3
200304,69.4,0.1
200404,67.4,-1.9
200504,66.7,-2.6
200604,72.4,3.1
200704,68.4,-0.9
200804,69.5,0.2
200904,69.6,0.3
201004,69.7,0.4
201104,73.0,3.7
201204,71.2,1.9
201304,71.4,2.1
201404,70.5,1.2
201504,75.1,5.8
201604,71.2,1.9
201704,72.3,3.0
201804,70.2,0.9
201904,71.2,1.9
202004,73.1,3.8
202104,69.8,0.5
