Arkansas, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,39.3,-2.2
197712,40.5,-1.0
197812,41.1,-0.4
197912,42.5,1.0
198012,41.8,0.3
198112,39.6,-1.9
198212,46.5,5.0
198312,30.0,-11.5
198412,50.2,8.7
198512,36.8,-4.7
198612,41.0,-0.5
198712,43.3,1.8
198812,42.7,1.2
198912,33.0,-8.5
199012,41.7,0.2
199112,45.1,3.6
199212,42.0,0.5
199312,42.5,1.0
199412,44.4,2.9
199512,40.7,-0.8
199612,44.6,3.1
199712,40.4,-1.1
199812,43.9,2.4
199912,44.0,2.5
200012,31.6,-9.9
200112,45.2,3.7
200212,42.7,1.2
200312,42.3,0.8
200412,41.5,0.0
200512,40.0,-1.5
200612,44.9,3.4
200712,44.0,2.5
200812,41.0,-0.5
200912,38.1,-3.4
201012,38.9,-2.6
201112,43.3,1.8
201212,46.4,4.9
201312,40.1,-1.4
201412,43.8,2.3
201512,50.0,8.5
201612,42.5,1.0
201712,42.4,0.9
201812,44.2,2.7
201912,45.7,4.2
202012,42.6,1.1
202112,53.3,11.8
