Oklahoma, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,63.2,-4.8
197705,70.8,2.8
197805,67.3,-0.7
197905,65.8,-2.2
198005,67.4,-0.6
198105,65.4,-2.6
198205,68.0,0.0
198305,64.7,-3.3
198405,67.6,-0.4
198505,69.4,1.4
198605,68.2,0.2
198705,71.2,3.2
198805,68.4,0.4
198905,68.3,0.3
199005,66.4,-1.6
199105,71.2,3.2
199205,65.8,-2.2
199305,66.1,-1.9
199405,66.7,-1.3
199505,64.6,-3.4
199605,73.0,5.0
199705,65.6,-2.4
199805,72.0,4.0
199905,67.2,-0.8
200005,70.5,2.5
200105,69.0,1.0
200205,66.5,-1.5
200305,68.7,0.7
200405,70.8,2.8
200505,67.5,-0.5
200605,70.6,2.6
200705,68.9,0.9
200805,68.5,0.5
200905,66.0,-2.0
201005,68.2,0.2
201105,67.7,-0.3
201205,72.6,4.6
201305,67.0,-1.0
201405,68.9,0.9
201505,66.1,-1.9
201605,66.2,-1.8
201705,66.9,-1.1
201805,75.1,7.1
201905,67.0,-1.0
202005,67.2,-0.8
202105,65.9,-2.1
