West Virginia, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,51.2,0.3
197704,53.9,3.0
197804,51.6,0.7
197904,50.7,-0.2
198004,50.2,-0.7
198104,55.1,4.2
198204,47.3,-3.6
198304,47.9,-3.0
198404,49.4,-1.5
198504,54.6,3.7
198604,53.8,2.9
198704,48.7,-2.2
198804,50.6,-0.3
198904,48.8,-2.1
199004,50.8,-0.1
199104,54.4,3.5
199204,50.8,-0.1
199304,50.2,-0.7
199404,54.7,3.8
199504,51.0,0.1
199604,50.6,-0.3
199704,46.7,-4.2
199804,52.4,1.5
199904,54.3,3.4
200004,51.0,0.1
200104,54.6,3.7
200204,54.1,3.2
200304,53.4,2.5
200404,52.0,1.1
200504,53.1,2.2
200604,55.7,4.8
200704,49.6,-1.3
200804,54.4,3.5
200904,52.2,1.3
201004,55.6,4.7
201104,55.0,4.1
201204,51.7,0.8
201304,52.9,2.0
201404,53.1,2.2
201504,53.1,2.2
201604,53.0,2.1
201704,57.5,6.6
201804,47.7,-3.2
201904,54.9,4.0
202004,48.9,-2.0
202104,51.2,0.3
