Nevada, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197611,42.1,3.2
197711,41.0,2.1
197811,36.3,-2.6
197911,36.0,-2.9
198011,41.0,2.1
198111,42.6,3.7
198211,35.9,-3.0
198311,39.0,0.1
198411,38.4,-0.5
198511,33.6,-5.3
198611,40.4,1.5
198711,39.6,0.7
198811,39.3,0.4
198911,40.6,1.7
199011,39.2,0.3
199111,39.6,0.7
199211,35.7,-3.2
199311,35.3,-3.6
199411,31.0,-7.9
199511,45.6,6.7
199611,40.7,1.8
199711,41.0,2.1
199811,39.5,0.6
199911,44.6,5.7
200011,33.8,-5.1
200111,41.6,2.7
200211,40.2,1.3
200311,35.9,-3.0
200411,37.8,-1.1
200511,42.1,3.2
200611,40.2,1.3
200711,42.3,3.4
200811,44.4,5.5
200911,40.7,1.8
201011,37.4,-1.5
201111,37.6,-1.3
201211,43.4,4.5
201311,41.5,2.6
201411,41.5,2.6
201511,35.9,-3.0
201611,43.2,4.3
201711,44.4,5.5
201811,39.4,0.5
201911,41.8,2.9
202011,40.5,1.6
202111,45.1,6.2
